error	steps
35657371354.0	684.0
35650952721.0	685.0
35641573448.0	686.0
35635509266.0	687.0
35628650938.0	688.0
35623813268.0	689.0
35621921640.0	690.0
35616864431.0	691.0
35608097928.0	692.0
35596978902.0	693.0
35594485662.0	694.0
35592641726.0	695.0
35586768198.0	696.0
35584608665.0	697.0
35578688452.0	698.0
35571741514.0	699.0
35567619758.0	700.0
35562604450.0	701.0
35554513846.0	702.0
35544639029.0	703.0
35540887813.0	704.0
35531095927.0	705.0
35528716017.0	706.0
35523186066.0	707.0
35513203307.0	708.0
35507903606.0	709.0
35498527904.0	710.0
35497186666.0	711.0
35491084778.0	712.0
35484354298.0	713.0
35479886409.0	714.0
35476027768.0	715.0
35459265003.0	716.0
35451364156.0	717.0
35444049940.0	718.0
35440914323.0	719.0
35432290711.0	720.0
35429254255.0	721.0
35423336694.0	722.0
35418652471.0	723.0
35415938518.0	724.0
35413646141.0	725.0
35405074229.0	726.0
35400608852.0	727.0
35395679604.0	728.0
35388938671.0	729.0
35386904148.0	730.0
35384171670.0	731.0
35381412558.0	732.0
35377762606.0	733.0
35371350750.0	734.0
35358879031.0	735.0
35356029469.0	736.0
35349620964.0	737.0
35347783263.0	738.0
35345668480.0	739.0
35335897703.0	740.0
35328498847.0	741.0
35324133866.0	742.0
35313926506.0	743.0
35309819192.0	744.0
35307269463.0	745.0
35305151014.0	746.0
35300520149.0	747.0
35295828289.0	748.0
35287546610.0	749.0
35282161622.0	750.0
35266720730.0	751.0
35257306296.0	752.0
35247924159.0	753.0
35228390761.0	754.0
35220058441.0	755.0
35214368849.0	756.0
35202229710.0	757.0
35196110147.0	758.0
35189107800.0	759.0
35175796415.0	760.0
35173686585.0	761.0
35171872803.0	762.0
35167171579.0	763.0
35161532540.0	764.0
35154674572.0	765.0
35147814658.0	766.0
35146687699.0	767.0
35143767867.0	768.0
35137390143.0	769.0
35123921706.0	770.0
35116449621.0	771.0
35105445250.0	772.0
35103854199.0	773.0
35095947052.0	774.0
35082875973.0	775.0
35080684748.0	776.0
35076286243.0	777.0
35065567596.0	778.0
35063349342.0	779.0
35058510393.0	780.0
35049777808.0	781.0
35043925277.0	782.0
35035656826.0	783.0
35024675194.0	784.0
35022405245.0	785.0
35012437292.0	786.0
35011182407.0	787.0
35005327309.0	788.0
35004006104.0	789.0
34999235153.0	790.0
34993181267.0	791.0
34987490275.0	792.0
34984786623.0	793.0
34982746544.0	794.0
34978165956.0	795.0
34973811970.0	796.0
34967534344.0	797.0
34961222467.0	798.0
34957889508.0	799.0
34955434550.0	800.0
34946877752.0	801.0
34944303602.0	802.0
34936489207.0	803.0
34931230289.0	804.0
34928111710.0	805.0
34923519156.0	806.0
34912925813.0	807.0
34905076187.0	808.0
34894733345.0	809.0
34892089178.0	810.0
34886636842.0	811.0
34881151379.0	812.0
34875997310.0	813.0
34871430633.0	814.0
34865088239.0	815.0
34858520362.0	816.0
34842960724.0	817.0
34840166804.0	818.0
34832910320.0	819.0
34829010740.0	820.0
34826908034.0	821.0
34824115841.0	822.0
34820299970.0	823.0
34815093724.0	824.0
34812650479.0	825.0
34801464150.0	826.0
34793922090.0	827.0
34790148203.0	828.0
34786740659.0	829.0
34783467134.0	830.0
34776649185.0	831.0
34771278770.0	832.0
34767372369.0	833.0
34765409084.0	834.0
34763712388.0	835.0
34756005059.0	836.0
34752888809.0	837.0
34745692891.0	838.0
34744545682.0	839.0
34727978158.0	840.0
34720161371.0	841.0
34718459231.0	842.0
34714589205.0	843.0
34709752470.0	844.0
34702210477.0	845.0
34689949033.0	846.0
34685345574.0	847.0
34682558112.0	848.0
34678266941.0	849.0
34676426203.0	850.0
34669305893.0	851.0
34667030025.0	852.0
34666027078.0	853.0
34659320141.0	854.0
34650332581.0	855.0
34648696787.0	856.0
34640987496.0	857.0
34638015700.0	858.0
34630828498.0	859.0
34627002009.0	860.0
34624004711.0	861.0
34618547223.0	862.0
34616269155.0	863.0
34611378067.0	864.0
34607463082.0	865.0
34605220371.0	866.0
34601197983.0	867.0
34596720734.0	868.0
34583921334.0	869.0
34579195739.0	870.0
34576961396.0	871.0
34573335035.0	872.0
34571235791.0	873.0
34569091258.0	874.0
34559746918.0	875.0
34548644522.0	876.0
34544932731.0	877.0
34542903300.0	878.0
34539509210.0	879.0
34532715252.0	880.0
34532089439.0	881.0
34529843346.0	882.0
34526617765.0	883.0
34526190121.0	884.0
34520858147.0	885.0
34517519944.0	886.0
34514180801.0	887.0
34511187842.0	888.0
34505345109.0	889.0
34500172291.0	890.0
34496812864.0	891.0
34495355444.0	892.0
34491981332.0	893.0
34490238842.0	894.0
34488654308.0	895.0
34484598608.0	896.0
34475577093.0	897.0
34468005782.0	898.0
34462011957.0	899.0
34454556374.0	900.0
34450363898.0	901.0
34448457873.0	902.0
34445038149.0	903.0
34442832533.0	904.0
34435478254.0	905.0
34424586605.0	906.0
34417064954.0	907.0
34415878305.0	908.0
34413075722.0	909.0
34411292578.0	910.0
34408010033.0	911.0
34402264408.0	912.0
34396948551.0	913.0
34390830753.0	914.0
34388128319.0	915.0
34385671430.0	916.0
34379261035.0	917.0
34376828666.0	918.0
34376178988.0	919.0
34372917681.0	920.0
34363352316.0	921.0
34356395857.0	922.0
34355503543.0	923.0
34350580503.0	924.0
34342216009.0	925.0
34338081070.0	926.0
34330130413.0	927.0
34326063845.0	928.0
34323099827.0	929.0
34320629918.0	930.0
34318174234.0	931.0
34313419042.0	932.0
34307359485.0	933.0
34305141148.0	934.0
34299914001.0	935.0
34298254482.0	936.0
34296899467.0	937.0
34291274859.0	938.0
34289823579.0	939.0
34282508741.0	940.0
34277800201.0	941.0
34276198534.0	942.0
34271289111.0	943.0
34256477418.0	944.0
34255151618.0	945.0
34252926741.0	946.0
34251839697.0	947.0
34248559879.0	948.0
34246751327.0	949.0
34241413940.0	950.0
34239210659.0	951.0
34238105057.0	952.0
34230056946.0	953.0
34228360696.0	954.0
34221593507.0	955.0
34216369095.0	956.0
34211333139.0	957.0
34202970047.0	958.0
34199551445.0	959.0
34188933470.0	960.0
34181523153.0	961.0
34175898404.0	962.0
34175375375.0	963.0
34173165426.0	964.0
34169585740.0	965.0
34169140144.0	966.0
34166643899.0	967.0
34150822941.0	968.0
34150032514.0	969.0
34146670623.0	970.0
34146267381.0	971.0
34141496405.0	972.0
34137363011.0	973.0
34134765387.0	974.0
34128196582.0	975.0
34126323407.0	976.0
34122579182.0	977.0
34109035236.0	978.0
34106179486.0	979.0
34103107271.0	980.0
